@relation 'gamma_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Remove-R15-25'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute Direction {North,South,East,West,Stop}

@data
12,5,1,1,1,1,5,6,5,12,5,1,7,1,West
13,5,1,1,1,1,5,6,5,12,5,1,7,1,West
12,5,1,1,1,1,5,6,5,12,5,1,7,1,West
11,5,1,1,1,1,5,6,5,12,5,1,7,1,West
10,5,1,1,1,1,5,6,5,12,5,1,7,1,West
9,5,1,1,1,1,5,6,5,12,5,1,7,1,North
8,5,1,1,1,1,5,6,5,12,5,1,7,1,East
8,6,1,1,1,1,5,6,5,12,5,1,7,1,South
9,6,1,1,1,1,5,6,5,12,5,1,7,1,West
9,5,1,1,1,1,5,6,5,12,5,1,7,1,West
8,5,1,1,1,1,5,6,5,12,5,1,7,1,West
7,5,1,1,1,1,5,6,5,12,5,1,7,1,South
6,5,1,1,1,1,5,6,5,12,5,1,7,1,West
6,4,1,1,1,1,5,6,5,12,5,1,7,1,West
5,4,1,1,1,1,5,6,5,12,5,1,7,1,North
4,4,1,1,1,1,5,6,5,12,5,1,7,1,East
4,5,1,1,1,1,5,6,5,12,5,1,7,1,East
5,5,1,1,1,1,5,6,5,12,5,1,7,1,North
6,5,1,1,1,1,5,6,5,12,5,1,7,1,West
6,6,1,1,1,1,5,6,5,12,5,1,7,1,West
5,6,1,1,1,1,1,1,5,12,5,1,7,1,South
4,6,1,1,1,1,1,1,5,12,5,1,7,1,South
4,5,1,1,1,1,1,1,5,12,5,1,7,1,South
4,4,1,1,1,1,1,1,5,12,5,1,7,1,West
4,3,1,0,1,1,1,1,5,12,5,1,7,1,West
3,3,1,0,1,1,1,1,5,12,5,1,7,1,West
2,3,1,0,1,1,1,1,5,12,5,1,7,1,North
1,3,1,0,1,0,1,1,5,12,5,1,7,1,North
1,4,1,1,1,0,1,1,5,12,5,1,7,1,North
1,5,1,1,1,0,1,1,5,12,5,1,7,1,North
1,6,1,1,1,0,1,1,5,12,5,1,7,1,North
1,7,1,1,1,0,1,1,5,12,5,1,7,1,North
1,8,1,1,1,0,1,1,5,12,5,1,7,1,East
1,9,0,1,1,0,1,1,5,12,5,1,7,1,East
2,9,0,1,1,1,1,1,5,12,5,1,7,1,East
3,9,0,1,1,1,1,1,5,12,5,1,7,1,East
4,9,0,1,1,1,1,1,5,12,5,1,7,1,East
5,9,0,1,1,1,1,1,5,12,5,1,7,1,East
6,9,1,1,1,1,1,1,5,12,5,1,7,1,North
7,9,1,1,1,1,1,1,5,12,5,1,7,1,North
7,10,1,1,1,1,1,1,5,12,5,1,7,1,West
7,11,1,1,1,1,1,1,5,12,5,1,7,1,West
6,11,1,1,1,1,1,1,5,12,5,1,7,1,West
5,11,1,0,1,1,1,1,5,12,5,1,7,1,West
4,11,1,0,1,1,1,1,5,12,5,1,7,1,West
3,11,1,0,1,1,1,1,5,12,5,1,7,1,West
2,11,1,0,1,1,1,1,5,12,5,1,7,1,Stop
1,11,1,0,1,0,1,1,5,12,5,1,7,1,North
