@relation 'beta_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute meanGhostx numeric
@attribute meanGhosty numeric
@attribute meanDist numeric
@attribute Direction {North,South,East,West,Stop}

@data
13,11,1,1,1,1,5,6,5,12,13,6,7,1,13,9,5,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.5,East
13,10,1,1,1,1,5,6,5,12,13,6,7,1,12,10,4,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.25,East
14,10,1,1,1,1,5,6,5,12,13,6,7,1,13,11,5,-1,Stop,Stop,Stop,Stop,7.5,6.25,7,South
15,10,1,1,1,1,5,6,5,12,13,6,7,1,14,12,6,-1,Stop,Stop,Stop,Stop,7.5,6.25,7.75,East
15,9,1,1,1,1,5,6,5,12,13,6,7,1,13,13,5,-1,Stop,Stop,Stop,Stop,7.5,6.25,7.5,East
16,9,1,1,1,1,5,6,5,12,13,6,7,1,14,14,6,-1,Stop,Stop,Stop,Stop,7.5,6.25,8.25,East
17,9,1,1,1,1,5,6,5,12,13,6,7,1,15,15,7,-1,Stop,Stop,Stop,Stop,7.5,6.25,9,North
18,9,1,1,0,1,5,6,5,12,13,6,7,1,16,16,8,-1,Stop,Stop,Stop,Stop,7.5,6.25,9.75,North
18,10,1,1,0,1,5,6,5,12,13,6,7,1,17,15,9,-1,Stop,Stop,Stop,Stop,7.5,6.25,10,South
18,11,1,1,0,1,5,6,5,12,13,6,7,1,18,14,10,-1,Stop,Stop,Stop,Stop,7.5,6.25,10.25,West
18,10,1,1,0,1,5,6,5,12,13,6,7,1,17,15,9,-1,Stop,Stop,Stop,Stop,7.5,6.25,10,South
17,10,1,1,1,1,5,6,5,12,13,6,7,1,16,14,8,-1,Stop,Stop,Stop,Stop,7.5,6.25,9.25,South
17,9,1,1,1,1,5,6,5,12,13,6,7,1,15,15,7,-1,Stop,Stop,Stop,Stop,7.5,6.25,9,South
17,8,1,1,1,1,5,6,5,12,13,6,7,1,14,16,6,-1,Stop,Stop,Stop,Stop,7.5,6.25,8.75,South
17,7,1,1,1,1,5,6,5,12,13,6,7,1,13,17,5,-1,Stop,Stop,Stop,Stop,7.5,6.25,8.5,South
17,6,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,7.5,6.25,8.25,West
17,5,1,1,1,1,5,6,5,12,13,6,7,1,13,19,5,-1,Stop,Stop,Stop,Stop,7.5,6.25,9,North
16,5,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,7.5,6.25,8.25,West
16,6,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,7.5,6.25,7.5,South
15,6,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.75,South
15,5,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,7.5,6.25,7.5,South
15,4,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,7.5,6.25,8.25,North
15,3,1,0,1,1,5,6,5,12,13,6,7,1,13,19,5,-1,Stop,Stop,Stop,Stop,7.5,6.25,9,North
15,4,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,7.5,6.25,8.25,North
15,5,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,7.5,6.25,7.5,West
15,6,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.75,North
14,6,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,7.5,6.25,6,South
14,7,1,1,1,1,5,6,5,12,13,6,7,1,10,14,2,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.25,South
14,6,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,7.5,6.25,6,West
14,5,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.75,West
13,5,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,7.5,6.25,6,North
12,5,1,1,1,1,5,6,5,12,13,6,7,1,8,14,2,-1,Stop,Stop,Stop,Stop,7.5,6.25,5.75,East
12,6,1,1,1,1,5,6,5,12,13,6,7,1,7,13,1,-1,Stop,Stop,Stop,Stop,7.5,6.25,5,South
13,6,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5,South
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5.5,North
13,4,1,1,1,1,5,6,5,12,5,1,7,1,10,16,-1,-1,Stop,Stop,Stop,Stop,5.5,5,6,North
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5.5,South
13,6,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5,South
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5.5,North
13,4,1,1,1,1,5,6,5,12,5,1,7,1,10,16,-1,-1,Stop,Stop,Stop,Stop,5.5,5,6,West
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5.5,West
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5,East
11,5,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,5.5,5,4.5,East
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5,West
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5.5,West
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5,East
11,5,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,5.5,5,4.5,East
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5,West
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5.5,West
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5,West
11,5,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,5.5,5,4.5,West
10,5,1,1,1,1,5,6,5,12,5,1,7,1,6,12,-1,-1,Stop,Stop,Stop,Stop,5.5,5,4,West
9,5,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,Stop,Stop,Stop,Stop,5.5,5,3.5,North
8,5,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,5.5,5,3,East
8,6,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2.5,South
9,6,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,5.5,5,3,West
9,5,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,Stop,Stop,Stop,Stop,5.5,5,3.5,West
8,5,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,5.5,5,3,West
7,5,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2.5,South
6,5,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2,West
6,4,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2.5,West
