@relation training_largemaps.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute DirToGhost1{North,South,East,West,Stop}
@attribute DirToGhost2{North,South,East,West,Stop}
@attribute DirToGhost3{North,South,East,West,Stop}
@attribute DirToGhost4{North,South,East,West,Stop}
@attribute Move{North,South,East,West,Stop}
@data
25,9,1,1,0,1,25,17,Stop,Stop,Stop,South,South
25,8,1,1,0,1,25,17,Stop,Stop,Stop,South,South
25,7,1,1,0,1,25,18,Stop,Stop,Stop,South,South
25,6,1,1,0,1,24,18,Stop,Stop,Stop,West,West
25,5,1,1,0,1,25,18,Stop,Stop,Stop,North,North
24,5,1,1,1,1,25,18,Stop,Stop,Stop,East,East
24,6,1,1,1,1,25,18,Stop,Stop,Stop,North,North
25,6,1,1,0,1,25,17,Stop,Stop,Stop,North,North
25,7,1,1,0,1,25,16,Stop,Stop,Stop,North,North
25,8,1,1,0,1,25,15,Stop,Stop,Stop,North,North
25,9,1,1,0,1,25,16,Stop,Stop,Stop,North,North
25,10,1,1,0,1,25,15,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,15,Stop,Stop,Stop,South,South
24,11,0,1,1,1,25,16,Stop,Stop,Stop,East,East
24,10,1,1,1,1,24,16,Stop,Stop,Stop,North,North
25,10,1,1,0,1,25,16,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,16,Stop,Stop,Stop,South,South
24,11,0,1,1,1,24,16,Stop,Stop,Stop,South,South
24,10,1,1,1,1,24,15,Stop,Stop,Stop,South,South
24,9,1,1,1,1,24,15,Stop,Stop,Stop,South,South
24,8,1,1,1,1,24,14,Stop,Stop,Stop,South,South
24,7,1,1,1,1,24,14,Stop,Stop,Stop,South,South
24,6,1,1,1,1,25,14,Stop,Stop,Stop,East,East
24,5,1,1,1,1,25,13,Stop,Stop,Stop,North,North
25,5,1,1,0,1,25,13,Stop,Stop,Stop,North,North
25,6,1,1,0,1,25,13,Stop,Stop,Stop,North,North
25,7,1,1,0,1,25,13,Stop,Stop,Stop,North,North
25,8,1,1,0,1,25,13,Stop,Stop,Stop,North,North
25,9,1,1,0,1,25,14,Stop,Stop,Stop,North,North
