@relation alpha_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute Direction {North,South,East,West,Stop}

@data
17,6,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,West
17,5,1,1,1,1,5,6,5,12,13,6,7,1,13,19,5,-1,Stop,Stop,Stop,Stop,North
16,5,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,West
16,6,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,South
15,6,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,South
15,5,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,South
15,4,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,North
15,3,1,0,1,1,5,6,5,12,13,6,7,1,13,19,5,-1,Stop,Stop,Stop,Stop,North
15,4,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,North
15,5,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,West
15,6,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,North
14,6,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,South
14,7,1,1,1,1,5,6,5,12,13,6,7,1,10,14,2,-1,Stop,Stop,Stop,Stop,South
14,6,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,West
14,5,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,West
13,5,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,North
12,5,1,1,1,1,5,6,5,12,13,6,7,1,8,14,2,-1,Stop,Stop,Stop,Stop,East
12,6,1,1,1,1,5,6,5,12,13,6,7,1,7,13,1,-1,Stop,Stop,Stop,Stop,South
13,6,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,South
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,North
13,4,1,1,1,1,5,6,5,12,5,1,7,1,10,16,-1,-1,Stop,Stop,Stop,Stop,North
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,South
13,6,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,South
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,North
13,4,1,1,1,1,5,6,5,12,5,1,7,1,10,16,-1,-1,Stop,Stop,Stop,Stop,West
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,West
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,East
11,5,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,East
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,West
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,West
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,East
11,5,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,East
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,West
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,West
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,West
11,5,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,West
10,5,1,1,1,1,5,6,5,12,5,1,7,1,6,12,-1,-1,Stop,Stop,Stop,Stop,West
9,5,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,Stop,Stop,Stop,Stop,North
8,5,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,East
8,6,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,South
9,6,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,West
9,5,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,Stop,Stop,Stop,Stop,West
8,5,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,West
