@relation alpha_training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R23-26

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute Direction {North,South,East,West,Stop}

@data
5,7,1,1,1,1,3,8,6,7,5,1,11,11,3,1,-1,9,Stop,North,Stop,North,West
4,7,1,1,1,1,3,7,6,8,5,1,10,11,1,3,-1,11,Stop,North,Stop,North,East
3,7,1,1,1,1,1,1,6,9,5,1,10,12,-1,5,-1,13,Stop,North,Stop,East,East
4,7,1,1,1,1,1,1,6,9,5,1,10,13,-1,4,-1,13,Stop,North,Stop,East,East
5,7,1,1,1,1,1,1,6,10,5,1,11,13,-1,4,-1,12,Stop,North,Stop,South,North
6,7,1,1,1,1,1,1,6,11,5,1,11,13,-1,4,-1,10,Stop,North,Stop,North,North
6,8,1,1,1,1,1,1,6,12,5,1,11,12,-1,4,-1,10,Stop,North,Stop,South,North
6,9,1,1,1,1,1,1,6,13,5,1,11,13,-1,4,-1,8,Stop,North,Stop,South,North
6,10,1,1,1,0,1,1,6,14,5,1,11,12,-1,4,-1,6,Stop,North,Stop,South,North
6,11,1,1,1,1,1,1,6,14,5,1,11,11,-1,3,-1,5,Stop,Stop,Stop,West,North
6,12,1,1,1,1,1,1,6,13,5,1,11,11,-1,1,-1,5,Stop,Stop,Stop,North,East
6,13,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,5,Stop,Stop,Stop,North,East
7,13,1,1,1,1,1,1,3,1,5,1,10,12,-1,-1,-1,3,Stop,Stop,Stop,Stop,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,West,East,Stop,North
13,10,1,1,1,1,5,6,4,12,14,6,13,12,12,11,5,2,South,West,North,Stop,North
13,11,1,1,1,1,5,5,3,12,14,7,13,12,14,11,5,1,South,North,North,Stop,West
13,12,1,1,1,1,5,5,3,13,14,8,7,1,15,11,5,-1,West,North,East,Stop,West
12,12,1,1,1,1,4,5,3,13,15,8,7,1,15,10,7,-1,East,North,West,Stop,West
11,12,1,1,1,1,5,5,3,14,14,8,7,1,13,10,7,-1,South,North,North,Stop,West
10,12,1,1,1,1,5,4,3,14,14,9,7,1,13,9,7,-1,East,South,South,Stop,West
9,12,1,1,1,1,6,4,3,13,14,8,7,1,11,7,9,-1,East,West,North,Stop,West
8,12,1,1,1,1,6,4,2,13,14,9,7,1,10,7,9,-1,West,West,East,Stop,West
7,12,1,1,1,1,5,4,1,13,15,9,7,1,10,7,11,-1,West,West,East,Stop,West
6,12,1,1,1,1,4,4,1,13,15,9,7,1,10,6,12,-1,East,East,West,Stop,West
5,12,1,1,1,1,5,4,2,13,14,9,7,1,8,4,12,-1,East,West,South,Stop,West
4,12,1,1,1,1,6,4,1,13,14,8,7,1,10,4,14,-1,North,East,North,Stop,West
3,12,1,1,1,1,6,5,2,13,14,9,7,1,10,2,14,-1,North,West,South,Stop,West
2,12,1,1,1,1,6,6,1,13,14,8,7,1,10,2,16,-1,East,North,East,Stop,North
1,12,1,1,1,0,7,6,1,14,15,8,7,1,12,2,18,-1,East,Stop,East,Stop,East
1,13,1,1,1,0,7,6,3,1,15,8,7,1,13,-1,19,-1,East,Stop,East,Stop,East
2,13,1,1,1,1,7,6,3,1,16,8,7,1,12,-1,19,-1,East,Stop,West,Stop,East
3,13,1,1,1,1,8,6,3,1,15,8,7,1,12,-1,17,-1,East,Stop,West,Stop,East
4,13,1,1,1,1,9,6,3,1,15,8,7,1,12,-1,16,-1,East,Stop,West,Stop,East
5,13,1,1,1,1,9,6,3,1,15,8,7,1,11,-1,15,-1,East,Stop,North,Stop,East
6,13,1,1,1,1,10,6,3,1,15,9,7,1,11,-1,13,-1,East,Stop,North,Stop,East
7,13,1,1,1,1,11,6,3,1,15,9,7,1,11,-1,12,-1,East,Stop,West,Stop,East
8,13,1,1,1,1,11,6,3,1,14,9,7,1,10,-1,10,-1,South,Stop,North,Stop,East
9,13,1,1,1,1,11,5,3,1,14,10,7,1,10,-1,8,-1,East,Stop,North,Stop,East
10,13,1,1,1,1,12,5,3,1,14,11,7,1,10,-1,6,-1,North,Stop,North,Stop,East
11,13,1,1,1,1,12,6,3,1,14,12,7,1,8,-1,4,-1,East,Stop,East,Stop,East
12,13,1,1,1,1,13,6,3,1,15,12,7,1,8,-1,4,-1,East,Stop,North,Stop,East
13,13,1,1,1,1,14,6,3,1,15,13,7,1,8,-1,2,-1,West,Stop,North,Stop,West
14,13,1,1,1,1,13,6,3,1,15,14,7,1,8,-1,2,-1,East,Stop,South,Stop,East
13,13,1,1,1,1,14,6,3,1,15,13,7,1,8,-1,2,-1,East,Stop,East,Stop,East
14,13,1,1,1,1,15,6,3,1,16,13,7,1,8,-1,2,-1,East,Stop,East,Stop,East
15,13,1,1,1,1,16,6,3,1,17,13,7,1,8,-1,2,-1,East,Stop,Stop,Stop,East
16,13,1,1,1,1,17,6,3,1,17,13,7,1,8,-1,1,-1,East,Stop,Stop,Stop,East
17,13,1,1,1,1,18,6,3,1,5,1,7,1,8,-1,-1,-1,West,Stop,Stop,Stop,West
18,13,1,1,0,1,17,6,3,1,5,1,7,1,8,-1,-1,-1,East,Stop,Stop,Stop,East
17,13,1,1,1,1,18,6,3,1,5,1,7,1,8,-1,-1,-1,East,Stop,Stop,Stop,South
18,13,1,1,0,1,18,6,3,1,5,1,7,1,7,-1,-1,-1,North,Stop,Stop,Stop,South
18,12,1,1,0,1,18,7,3,1,5,1,7,1,5,-1,-1,-1,West,Stop,Stop,Stop,West
18,11,1,1,0,1,17,7,3,1,5,1,7,1,5,-1,-1,-1,South,Stop,Stop,Stop,South
17,11,1,1,1,1,17,6,3,1,5,1,7,1,5,-1,-1,-1,East,Stop,Stop,Stop,East
17,10,1,1,1,1,18,6,3,1,5,1,7,1,5,-1,-1,-1,South,Stop,Stop,Stop,South
18,10,1,1,0,1,18,5,3,1,5,1,7,1,5,-1,-1,-1,South,Stop,Stop,Stop,South
18,9,1,1,0,1,18,5,3,1,5,1,7,1,4,-1,-1,-1,West,Stop,Stop,Stop,West
18,8,1,1,0,1,17,5,3,1,5,1,7,1,4,-1,-1,-1,North,Stop,Stop,Stop,South
17,8,1,1,1,1,17,6,3,1,5,1,7,1,2,-1,-1,-1,West,Stop,Stop,Stop,West
17,7,1,1,1,1,16,6,3,1,5,1,7,1,2,-1,-1,-1,Stop,Stop,Stop,Stop,South
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,North,South,North,North
13,10,1,1,1,1,5,6,5,13,13,5,13,12,12,11,5,3,Stop,North,West,North,North
13,11,1,1,1,1,5,6,5,14,12,5,13,13,13,11,7,3,East,West,West,North,North
13,12,1,1,1,1,6,6,4,14,11,5,13,14,13,11,9,2,North,East,East,Stop,West
13,13,1,1,1,1,6,7,5,14,12,5,13,14,13,9,9,-1,East,East,East,Stop,West
12,13,1,1,1,1,7,7,5,14,12,5,7,1,11,8,8,-1,East,East,North,Stop,West
11,13,1,1,1,1,7,7,6,14,12,6,7,1,10,6,8,-1,East,East,North,Stop,West
10,13,1,1,1,1,8,7,7,14,12,7,7,1,8,4,8,-1,North,East,West,Stop,West
9,13,1,1,1,1,8,8,7,14,11,7,7,1,6,3,8,-1,East,West,East,Stop,West
8,13,1,1,1,1,9,8,6,14,12,7,7,1,6,3,10,-1,East,Stop,East,Stop,North
7,13,1,1,1,1,10,8,7,14,13,7,7,1,8,1,12,-1,East,Stop,West,Stop,East
7,14,0,1,1,1,11,8,3,1,12,7,7,1,10,-1,12,-1,West,Stop,West,Stop,East
8,14,0,1,1,1,10,8,3,1,12,7,7,1,8,-1,11,-1,South,Stop,North,Stop,East
9,14,0,1,1,1,10,7,3,1,12,8,7,1,8,-1,9,-1,West,Stop,North,Stop,West
10,14,0,1,1,1,9,7,3,1,12,9,7,1,8,-1,7,-1,East,Stop,East,Stop,East
9,14,0,1,1,1,10,7,3,1,13,9,7,1,8,-1,9,-1,South,Stop,West,Stop,South
10,14,0,1,1,1,10,6,3,1,12,9,7,1,8,-1,7,-1,North,Stop,North,Stop,South
10,13,1,1,1,1,10,7,3,1,12,10,7,1,6,-1,5,-1,East,Stop,North,Stop,East
10,12,1,1,1,1,11,7,3,1,12,11,7,1,6,-1,3,-1,North,Stop,South,Stop,South
11,12,1,1,1,1,11,8,3,1,12,10,7,1,4,-1,3,-1,West,Stop,South,Stop,West
11,11,1,1,1,1,10,8,3,1,12,10,7,1,4,-1,2,-1,East,Stop,West,Stop,East
10,11,1,1,1,1,11,8,3,1,11,10,7,1,4,-1,2,-1,East,Stop,South,Stop,East
11,11,1,1,1,1,12,8,3,1,11,9,7,1,4,-1,2,-1,East,Stop,South,Stop,South
12,11,1,1,1,1,12,8,3,1,11,8,7,1,3,-1,4,-1,West,Stop,West,Stop,West
