@relation log.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute Direction {North,South,East,West,Stop}

@data
13,10,1,1,1,1,13,6,South
13,9,1,1,1,1,13,6,South
13,8,1,1,1,1,13,6,South
13,7,1,1,1,1,5,6,West
13,6,1,1,1,1,5,6,West
12,6,1,1,1,1,5,6,West
11,6,1,1,1,1,5,6,West
10,6,1,1,1,1,5,6,West
9,6,1,1,1,1,5,6,West
8,6,1,1,1,1,5,6,West
7,6,1,1,1,1,5,6,West
6,6,1,1,1,1,5,12,North
5,6,1,1,1,1,5,12,North
5,7,1,1,1,1,5,12,North
5,8,1,1,1,1,5,12,East
5,9,0,1,1,1,5,12,North
6,9,1,1,1,1,5,12,North
6,10,1,1,1,0,5,12,North
6,11,1,1,1,1,5,12,West
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,12,North
13,11,1,1,1,1,13,6,North
13,12,1,1,1,1,13,6,North
13,13,1,1,1,1,13,6,East
13,14,0,1,1,1,13,6,South
14,14,0,1,1,1,13,6,West
14,13,1,1,1,1,13,6,South
13,13,1,1,1,1,13,6,South
13,12,1,1,1,1,13,6,South
13,11,1,1,1,1,13,6,South
13,10,1,1,1,1,13,6,South
13,9,1,1,1,1,13,6,South
13,8,1,1,1,1,13,6,South
13,7,1,1,1,1,5,6,West
13,6,1,1,1,1,5,6,West
12,6,1,1,1,1,5,6,West
11,6,1,1,1,1,5,6,West
10,6,1,1,1,1,5,6,West
9,6,1,1,1,1,5,6,West
8,6,1,1,1,1,5,6,West
7,6,1,1,1,1,5,6,West
6,6,1,1,1,1,5,12,North
5,6,1,1,1,1,5,12,North
5,7,1,1,1,1,5,12,North
5,8,1,1,1,1,5,12,East
5,9,0,1,1,1,5,12,North
6,9,1,1,1,1,5,12,North
6,10,1,1,1,0,5,12,West
6,11,1,1,1,1,5,12,North
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,12,East
13,11,1,1,1,1,13,12,North
14,11,1,1,1,1,13,12,West
14,12,1,1,1,1,13,6,South
13,12,1,1,1,1,13,6,South
13,11,1,1,1,1,13,6,South
13,10,1,1,1,1,13,6,South
13,9,1,1,1,1,13,6,South
13,8,1,1,1,1,13,6,South
13,7,1,1,1,1,5,6,West
13,6,1,1,1,1,5,6,West
12,6,1,1,1,1,5,6,West
11,6,1,1,1,1,5,6,West
10,6,1,1,1,1,5,6,West
9,6,1,1,1,1,5,6,West
8,6,1,1,1,1,5,6,West
7,6,1,1,1,1,5,6,West
6,6,1,1,1,1,5,12,North
5,6,1,1,1,1,5,12,North
5,7,1,1,1,1,5,12,North
5,8,1,1,1,1,5,12,East
5,9,0,1,1,1,5,12,North
6,9,1,1,1,1,5,12,North
6,10,1,1,1,0,5,12,West
6,11,1,1,1,1,5,12,West
5,11,1,0,1,1,5,12,North
4,11,1,0,1,1,5,12,East
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,12,North
13,11,1,1,1,1,6,13,West
13,12,1,1,1,1,6,13,West
12,12,1,1,1,1,6,12,West
11,12,1,1,1,1,7,12,West
10,12,1,1,1,1,7,13,West
9,12,1,1,1,1,7,12,West
8,12,1,1,1,1,8,8,South
7,12,1,1,1,1,8,8,East
7,11,1,1,1,1,7,8,South
8,11,1,1,1,1,7,8,West
8,10,1,1,1,1,7,7,South
7,10,1,1,1,1,7,8,South
7,9,1,1,1,1,14,4,East
7,8,1,1,1,1,14,5,East
8,8,1,1,1,1,14,6,East
9,8,1,1,1,1,15,6,East
10,8,1,1,1,1,15,5,East
11,8,1,1,1,1,15,6,East
12,8,1,1,1,1,15,7,East
13,8,1,1,1,1,14,7,South
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,13,North
13,11,1,1,1,1,14,13,East
13,12,1,1,1,1,14,14,North
14,12,1,1,1,1,14,14,North
14,13,1,1,1,1,15,14,East
14,14,0,1,1,1,15,13,East
15,14,0,1,1,1,16,13,South
16,14,0,1,1,1,10,5,West
16,13,1,1,1,1,10,5,West
15,13,1,1,1,1,11,5,West
14,13,1,1,1,1,10,5,West
13,13,1,1,1,1,9,5,West
12,13,1,1,1,1,2,14,West
11,13,1,1,1,1,2,13,West
10,13,1,1,1,1,1,13,West
9,13,1,1,1,1,1,13,West
8,13,1,1,1,1,1,12,West
7,13,1,1,1,1,1,12,West
6,13,1,1,1,1,1,11,West
5,13,1,1,1,1,1,12,West
4,13,1,1,1,1,2,12,West
3,13,1,1,1,1,2,12,South
2,13,1,1,1,1,3,9,South
2,12,1,1,1,1,3,9,East
2,11,1,0,1,1,2,9,North
3,11,1,0,1,1,2,8,West
3,12,1,1,1,1,3,8,South
2,12,1,1,1,1,3,9,East
2,11,1,0,1,1,4,9,East
3,11,1,0,1,1,3,9,East
4,11,1,0,1,1,3,9,East
5,11,1,0,1,1,3,9,South
6,11,1,1,1,1,4,9,South
6,10,1,1,1,0,4,8,West
6,9,1,1,1,1,4,8,South
5,9,0,1,1,1,3,8,West
5,8,1,1,1,1,3,7,West
4,8,1,1,1,1,7,10,North
3,8,1,1,1,1,7,11,East
3,9,0,1,1,1,6,11,East
4,9,0,1,1,1,6,10,East
5,9,0,1,1,1,6,10,North
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,12,12,North
13,11,1,1,1,1,11,12,West
13,12,1,1,1,1,13,6,South
12,12,1,1,1,1,14,6,South
12,11,1,1,1,1,13,6,East
12,10,1,1,1,1,13,5,South
13,10,1,1,1,1,14,5,East
13,9,1,1,1,1,14,5,South
14,9,1,1,1,1,13,5,West
14,8,1,1,1,1,12,5,West
13,8,1,1,1,1,13,5,South
12,8,1,1,1,1,13,4,East
12,7,1,1,1,1,12,4,South
13,7,1,1,1,1,12,5,West
13,6,1,1,1,1,12,5,South
12,6,1,1,1,1,2,8,West
12,5,1,1,1,1,2,7,West
11,5,1,1,1,1,1,7,West
10,5,1,1,1,1,1,7,West
9,5,1,1,1,1,1,8,West
8,5,1,1,1,1,2,8,West
7,5,1,1,1,1,3,8,West
6,5,1,1,1,1,3,9,West
5,5,1,1,1,1,3,8,West
4,5,1,1,1,1,3,7,West
3,5,1,1,1,1,4,7,North
2,5,1,1,1,1,5,7,East
2,6,1,1,1,1,6,7,East
3,6,1,1,1,1,5,7,East
4,6,1,1,1,1,4,7,North
5,6,1,1,1,1,4,7,West
5,7,1,1,1,1,5,14,North
4,7,1,1,1,1,4,14,North
4,8,1,1,1,1,4,13,East
4,9,0,1,1,1,4,14,South
5,9,0,1,1,1,5,14,South
5,8,1,1,1,1,5,14,South
5,7,1,1,1,1,4,14,West
5,6,1,1,1,1,3,14,West
4,6,1,1,1,1,3,13,North
3,6,1,1,1,1,3,12,North
3,7,1,1,1,1,3,13,North
3,8,1,1,1,1,4,13,East
3,9,0,1,1,1,4,12,South
4,9,0,1,1,1,4,12,South
4,8,1,1,1,1,3,12,South
4,7,1,1,1,1,4,12,South
4,6,1,1,1,1,5,12,East
4,5,1,1,1,1,5,12,East
5,5,1,1,1,1,5,13,North
6,5,1,1,1,1,5,12,West
6,6,1,1,1,1,5,13,North
5,6,1,1,1,1,6,13,North
5,7,1,1,1,1,6,13,East
5,8,1,1,1,1,6,14,North
6,8,1,1,1,1,6,14,North
6,9,1,1,1,1,6,14,North
6,10,1,1,1,0,5,14,West
6,11,1,1,1,1,6,14,North
5,11,1,0,1,1,6,13,East
5,12,1,1,1,1,6,13,North
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,6,South
13,11,1,1,1,1,12,6,West
13,10,1,1,1,1,12,6,South
12,10,1,1,1,1,12,7,South
12,9,1,1,1,1,3,8,West
12,8,1,1,1,1,3,9,West
11,8,1,1,1,1,2,9,West
10,8,1,1,1,1,1,9,West
9,8,1,1,1,1,1,8,West
8,8,1,1,1,1,1,7,West
7,8,1,1,1,1,1,7,West
6,8,1,1,1,1,1,8,West
5,8,1,1,1,1,1,8,West
4,8,1,1,1,1,1,7,West
3,8,1,1,1,1,1,8,West
2,8,1,1,1,1,2,13,North
1,8,1,1,1,0,3,13,East
1,9,0,1,1,0,3,12,East
2,9,0,1,1,1,3,12,South
3,9,0,1,1,1,2,12,South
3,8,1,1,1,1,1,12,West
3,7,1,1,1,1,1,13,West
2,7,1,1,1,1,1,12,North
1,7,1,1,1,0,2,12,North
1,8,1,1,1,0,2,11,East
1,9,0,1,1,0,2,12,South
2,9,0,1,1,1,1,12,West
2,8,1,1,1,1,2,12,North
1,8,1,1,1,0,2,11,East
1,9,0,1,1,0,2,12,South
2,9,0,1,1,1,3,12,East
2,8,1,1,1,1,3,12,North
3,8,1,1,1,1,3,13,East
3,9,0,1,1,1,3,13,South
4,9,0,1,1,1,4,13,South
4,8,1,1,1,1,4,14,South
4,7,1,1,1,1,5,14,East
4,6,1,1,1,1,6,14,East
5,6,1,1,1,1,7,14,East
6,6,1,1,1,1,8,14,East
7,6,1,1,1,1,8,13,North
8,6,1,1,1,1,8,12,North
8,7,1,1,1,1,9,12,East
8,8,1,1,1,1,9,13,North
9,8,1,1,1,1,9,14,North
9,9,1,1,1,1,10,14,East
9,10,1,1,1,1,11,14,East
10,10,1,1,1,1,11,14,North
11,10,1,1,1,1,10,14,West
11,11,1,1,1,1,10,14,North
10,11,1,1,1,1,11,14,East
10,12,1,1,1,1,10,14,North
11,12,1,1,1,1,9,14,West
11,13,1,1,1,1,10,14,North
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,14,12,East
13,11,1,1,1,1,15,12,East
14,11,1,1,1,1,14,12,North
15,11,1,1,1,1,5,12,West
15,12,1,1,1,1,5,12,West
14,12,1,1,1,1,7,9,West
13,12,1,1,1,1,7,9,West
12,12,1,1,1,1,6,11,West
11,12,1,1,1,1,6,12,West
10,12,1,1,1,1,6,12,West
9,12,1,1,1,1,7,10,West
8,12,1,1,1,1,7,11,South
7,12,1,1,1,1,6,10,West
7,11,1,1,1,1,10,7,West
6,11,1,1,1,1,10,6,North
5,11,1,0,1,1,10,5,East
5,12,1,1,1,1,11,5,East
6,12,1,1,1,1,11,5,East
7,12,1,1,1,1,10,5,East
8,12,1,1,1,1,11,5,East
9,12,1,1,1,1,10,5,South
10,12,1,1,1,1,10,4,South
10,11,1,1,1,1,10,3,South
10,10,1,1,1,1,9,3,West
10,9,1,1,1,1,8,3,West
9,9,1,1,1,1,9,3,South
8,9,1,1,1,1,8,3,South
8,8,1,1,1,1,9,3,East
8,7,1,1,1,1,9,3,South
9,7,1,1,1,1,9,3,South
9,6,1,1,1,1,10,3,East
9,5,1,1,1,1,10,3,East
10,5,1,1,1,1,10,3,South
11,5,1,1,1,1,11,3,South
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,14,12,East
13,11,1,1,1,1,14,13,North
14,11,1,1,1,1,13,13,West
14,12,1,1,1,1,14,13,West
13,12,1,1,1,1,13,13,North
12,12,1,1,1,1,13,13,East
12,13,1,1,1,1,14,13,East
13,13,1,1,1,1,13,8,South
14,13,1,1,1,1,14,8,South
14,12,1,1,1,1,14,8,South
14,11,1,1,1,1,14,7,South
14,10,1,1,1,1,14,8,South
14,9,1,1,1,1,2,7,West
14,8,1,1,1,1,1,7,West
13,8,1,1,1,1,1,7,West
12,8,1,1,1,1,1,8,West
11,8,1,1,1,1,1,8,West
10,8,1,1,1,1,1,9,West
9,8,1,1,1,1,1,8,West
8,8,1,1,1,1,1,9,West
7,8,1,1,1,1,2,9,West
6,8,1,1,1,1,5,12,North
5,8,1,1,1,1,1,9,West
5,9,0,1,1,1,2,9,West
4,9,0,1,1,1,2,8,South
3,9,0,1,1,1,2,9,West
3,8,1,1,1,1,3,9,North
2,8,1,1,1,1,3,8,East
2,9,0,1,1,1,3,8,South
3,9,0,1,1,1,6,12,East
3,8,1,1,1,1,5,12,East
4,8,1,1,1,1,4,12,North
5,8,1,1,1,1,4,12,West
5,9,0,1,1,1,3,12,West
4,9,0,1,1,1,3,11,South
3,9,0,1,1,1,4,11,East
3,8,1,1,1,1,4,12,North
4,8,1,1,1,1,4,12,East
4,9,0,1,1,1,4,11,South
5,9,0,1,1,1,4,11,West
5,8,1,1,1,1,4,12,North
4,8,1,1,1,1,4,11,East
4,9,0,1,1,1,5,11,South
5,9,0,1,1,1,4,11,West
5,8,1,1,1,1,3,11,West
4,8,1,1,1,1,3,12,North
3,8,1,1,1,1,3,13,East
3,9,0,1,1,1,2,13,South
4,9,0,1,1,1,2,13,West
4,8,1,1,1,1,2,14,West
3,8,1,1,1,1,1,14,West
2,8,1,1,1,1,2,14,North
1,8,1,1,1,0,2,13,East
1,9,0,1,1,0,3,13,East
2,9,0,1,1,1,2,13,South
3,9,0,1,1,1,2,14,West
3,8,1,1,1,1,1,14,West
2,8,1,1,1,1,1,13,North
1,8,1,1,1,0,1,14,East
1,9,0,1,1,0,1,13,South
2,9,0,1,1,1,2,13,South
2,8,1,1,1,1,2,13,South
2,7,1,1,1,1,2,14,South
2,6,1,1,1,1,2,13,South
2,5,1,1,1,1,2,13,South
2,4,1,1,1,1,2,13,East
2,3,1,0,1,1,2,12,North
3,3,1,0,1,1,1,12,West
3,4,1,1,1,1,2,12,North
2,4,1,1,1,1,2,13,North
2,5,1,1,1,1,2,12,North
2,6,1,1,1,1,2,11,North
2,7,1,1,1,1,2,11,North
2,8,1,1,1,1,2,11,East
2,9,0,1,1,1,3,11,South
3,9,0,1,1,1,4,11,East
3,8,1,1,1,1,5,11,East
4,8,1,1,1,1,5,12,North
5,8,1,1,1,1,5,11,East
5,9,0,1,1,1,5,12,East
6,9,1,1,1,1,6,12,North
7,9,1,1,1,1,7,12,North
7,10,1,1,1,1,7,13,North
1,18,0,1,1,0,5,9,South
1,17,1,1,0,0,5,8,South
1,16,1,1,1,0,5,8,South
1,15,1,1,1,0,5,9,South
1,14,1,1,1,0,5,9,South
1,13,1,1,0,0,5,10,South
1,12,1,1,1,0,4,10,South
1,11,1,1,0,0,3,10,South
1,10,1,1,0,0,3,10,South
1,9,1,1,0,0,3,10,South
1,8,1,1,0,0,4,10,South
1,7,1,1,0,0,4,10,East
1,6,1,1,1,0,3,10,East
2,6,0,1,1,1,3,9,North
3,6,1,1,1,1,3,10,North
3,7,1,1,1,0,3,9,North
3,8,1,1,1,0,11,6,East
3,9,1,1,1,0,11,6,East
4,9,1,1,1,1,11,5,East
5,9,1,1,1,1,14,8,South
6,9,1,1,0,1,15,8,South
6,8,1,1,0,1,10,3,South
6,7,1,1,0,1,10,3,East
6,6,1,0,1,1,10,3,East
7,6,0,0,1,1,10,3,East
8,6,1,1,1,1,10,3,East
9,6,1,1,1,1,9,3,South
10,6,1,1,1,1,9,4,West
10,5,1,1,1,1,9,4,South
9,5,1,1,1,1,13,7,East
9,4,1,1,1,1,13,8,East
10,4,1,1,1,1,14,8,North
11,4,1,1,0,1,14,7,North
11,5,1,1,0,1,14,6,North
11,6,1,1,0,1,14,6,North
11,7,1,1,0,1,15,6,North
11,8,1,1,0,1,16,6,North
11,9,1,1,0,1,16,6,North
11,10,1,1,0,1,16,6,North
11,11,1,1,0,1,16,6,East
11,12,0,1,1,1,15,6,East
12,12,0,0,1,1,16,6,South
13,12,0,1,1,1,16,6,South
13,11,1,1,1,0,17,6,South
13,10,1,1,1,0,17,6,South
13,9,1,1,1,0,18,6,South
13,8,1,1,1,0,17,6,South
13,7,1,1,1,0,17,5,South
13,6,1,1,1,0,17,6,East
13,5,1,1,1,0,17,6,North
14,5,1,1,0,1,17,5,East
14,6,1,1,1,1,17,5,East
15,6,0,0,1,1,17,6,East
16,6,0,0,1,1,22,16,East
17,6,0,1,1,1,21,16,East
18,6,0,1,1,1,22,16,East
19,6,0,1,1,1,23,16,East
20,6,0,1,1,1,22,16,East
21,6,0,0,1,1,21,16,East
22,6,0,0,1,1,20,16,North
23,6,1,1,1,1,20,15,North
23,7,1,1,1,0,20,16,West
23,8,1,1,1,1,20,15,West
22,8,0,0,1,1,20,15,West
21,8,0,0,1,1,20,14,West
20,8,0,0,1,1,20,15,West
19,8,0,0,1,1,20,15,West
18,8,0,0,1,1,21,15,West
17,8,0,0,1,1,21,15,West
16,8,0,0,1,1,22,15,West
15,8,0,0,1,1,22,16,North
14,8,1,1,1,1,23,16,North
14,9,1,1,0,1,22,16,East
14,10,1,1,1,1,21,16,North
15,10,1,0,1,1,21,17,East
15,11,1,1,1,1,21,18,East
16,11,1,1,1,1,21,17,East
17,11,1,1,1,1,20,17,East
18,11,1,1,1,1,20,17,East
19,11,1,1,1,1,20,18,North
20,11,1,1,0,1,21,18,North
20,12,1,1,0,1,20,18,North
20,13,1,1,0,1,21,18,North
20,14,1,1,0,1,21,17,North
20,15,1,1,1,0,20,17,North
20,16,1,1,1,0,21,17,East
20,17,1,1,1,1,21,16,South
1,18,0,1,1,0,6,9,South
1,17,1,1,0,0,6,8,South
1,16,1,1,1,0,5,8,South
1,15,1,1,1,0,6,8,South
1,14,1,1,1,0,6,9,South
1,13,1,1,0,0,5,9,South
1,12,1,1,1,0,5,8,South
1,11,1,1,0,0,4,8,South
1,10,1,1,0,0,4,7,South
1,9,1,1,0,0,4,8,South
1,8,1,1,0,0,4,8,South
1,7,1,1,0,0,4,8,East
1,6,1,1,1,0,4,9,East
2,6,0,1,1,1,5,9,East
3,6,1,1,1,1,5,9,East
4,6,1,1,1,1,4,9,East
5,6,1,1,1,1,4,8,North
6,6,1,0,1,1,4,9,North
6,7,1,1,0,1,3,9,North
6,8,1,1,0,1,3,9,West
6,9,1,1,0,1,3,9,West
5,9,1,1,1,1,3,10,West
4,9,1,1,1,1,11,5,South
3,9,1,1,1,0,11,4,South
3,8,1,1,1,0,11,5,South
3,7,1,1,1,0,10,5,East
3,6,1,1,1,1,11,5,East
4,6,1,1,1,1,11,5,East
5,6,1,1,1,1,11,5,East
6,6,1,0,1,1,10,5,East
7,6,0,0,1,1,10,5,East
8,6,1,1,1,1,11,5,East
9,6,1,1,1,1,10,5,South
10,6,1,1,1,1,18,3,East
10,5,1,1,1,1,19,3,South
11,5,1,1,0,1,19,4,South
11,4,1,1,0,1,19,3,West
11,3,1,0,0,1,18,3,North
10,3,1,0,1,1,18,3,East
10,4,1,1,1,1,19,3,South
11,4,1,1,0,1,19,4,West
11,3,1,0,0,1,19,4,North
10,3,1,0,1,1,20,4,East
10,4,1,1,1,1,21,4,North
11,4,1,1,0,1,20,4,North
11,5,1,1,0,1,20,4,North
11,6,1,1,0,1,20,3,North
11,7,1,1,0,1,19,3,North
11,8,1,1,0,1,20,3,North
11,9,1,1,0,1,20,4,North
11,10,1,1,0,1,20,4,North
11,11,1,1,0,1,19,4,East
11,12,0,1,1,1,23,15,East
12,12,0,0,1,1,24,15,East
13,12,0,1,1,1,24,14,East
14,12,1,1,1,1,23,14,East
15,12,0,1,1,1,22,14,East
16,12,0,1,1,1,22,15,East
17,12,1,1,1,1,22,14,East
18,12,1,1,1,1,22,14,East
19,12,1,1,1,1,22,15,North
20,12,1,1,0,1,22,16,North
20,13,1,1,0,1,22,16,North
20,14,1,1,0,1,22,16,North
20,15,1,1,1,0,22,16,East
20,16,1,1,1,0,15,3,South
21,16,1,1,1,1,14,3,West
21,15,1,0,1,1,13,3,South
20,15,1,1,1,0,13,4,South
20,14,1,1,0,1,13,4,South
20,13,1,1,0,1,13,5,South
20,12,1,1,0,1,14,5,South
20,11,1,1,0,1,13,5,West
20,10,1,0,1,1,13,5,West
19,10,1,0,1,1,13,5,West
18,10,1,0,1,1,14,5,West
17,10,1,0,1,1,14,6,West
16,10,1,0,1,1,14,7,West
15,10,1,0,1,1,14,8,South
14,10,1,1,1,1,13,8,South
14,9,1,1,0,1,13,8,West
1,18,0,1,1,0,5,10,South
1,17,1,1,0,0,5,9,South
1,16,1,1,1,0,5,10,South
1,15,1,1,1,0,4,10,South
1,14,1,1,1,0,4,10,South
1,13,1,1,0,0,5,10,South
1,12,1,1,1,0,5,9,South
1,11,1,1,0,0,5,10,South
1,10,1,1,0,0,4,10,South
1,9,1,1,0,0,4,9,South
1,8,1,1,0,0,4,9,South
1,7,1,1,0,0,4,9,East
1,6,1,1,1,0,4,10,East
2,6,0,1,1,1,4,10,East
3,6,1,1,1,1,3,10,North
4,6,1,1,1,1,3,10,West
4,7,1,1,1,1,4,10,North
3,7,1,1,1,0,4,10,North
3,8,1,1,1,0,4,9,East
3,9,1,1,1,0,8,3,East
4,9,1,1,1,1,8,3,East
5,9,1,1,1,1,8,4,South
6,9,1,1,0,1,8,4,South
6,8,1,1,0,1,8,3,South
6,7,1,1,0,1,8,3,East
6,6,1,0,1,1,9,3,East
7,6,0,0,1,1,9,4,East
8,6,1,1,1,1,9,5,South
9,6,1,1,1,1,20,5,East
9,5,1,1,1,1,20,4,East
